GenusSpecies,ImageID
Pittosporum tobira,32725
Nerium oleander,23298
Quercus ilex,21862
Magnolia grandiflora,5205
Rhamnus alaternus,8835
Celtis australis,30478
Corylus avellana,29569
Corylus avellana,10349
Acer monspessulanum,9528
Quercus coccifera,8077
Laurus nobilis,31149
Rhamnus alaternus,16604
Nerium oleander,4473
Magnolia grandiflora,30632
Vitex agnus-castus,29409
Viburnum tinus,18950
Castanea sativa,33940
Crataegus azarolus,24537
Castanea sativa,7921
Juglans regia,22342
Quercus ilex,32943
Acer campestre,2434
Acer campestre,3097
Corylus avellana,33153
Ilex aquifolium,31
Platanus x hispanica,33831
Laburnum anagyroides,8973
Punica granatum,32369
Cercis siliquastrum,4764
Quercus ilex,9848
Olea europaea,16220
Salix caprea,5413
Viburnum lantana,16049
Cerasus mahaleb,8664
Cornus mas,3654
Quercus ilex,7723
Ficus carica,12489
Eriobotrya japonica,5650
Arbutus unedo,8297
Pittosporum tobira,34891
Ailanthus altissima,23586
Malus sylvestris,5206
Olea europaea,8942
Eriobotrya japonica,16527
Acer monspessulanum,14025
Rhamnus alaternus,1769
Broussonetia papyrifera,13127
Betula pendula,10085
Sorbus aria,12278
Platanus x hispanica,2072
Eriobotrya japonica,22112
Castanea sativa,480
Cerasus mahaleb,7288
Quercus coccifera,25453
Pittosporum tobira,33254
Arbutus unedo,375
Broussonetia papyrifera,14258
Aesculus hippocastanum,15548
Quercus ilex,21436
Quercus ilex,17425
Viburnum tinus,4254
Aesculus hippocastanum,9633
Quercus pubescens,14048
Robinia pseudoacacia,911
Rhus typhina,14812
Robinia pseudoacacia,7572
Quercus pubescens,2491
Quercus ilex,12235
Aesculus hippocastanum,3932
Acer negundo,9809
Quercus ilex,10518
Nerium oleander,23084
Pistacia terebinthus,11870
Olea europaea,29784
Castanea sativa,25760
Aesculus hippocastanum,28179
Quercus petraea,30147
Ligustrum vulgare,26010
Aesculus hippocastanum,19292
Syringa vulgaris,23765
Acer opalus,5580
Acer negundo,36109
Pistacia lentiscus,29726
Ginkgo biloba,4632
Castanea sativa,28095
Aesculus hippocastanum,32475
Celtis australis,29864
Castanea sativa,31514
Laurus nobilis,14081
Celtis australis,11352
Quercus ilex,34603
Pistacia lentiscus,5287
Juglans regia,16763
Quercus ilex,12608
Melia azedarach,17407
Sophora japonica,7450
Viburnum tinus,25886
Celtis australis,24218
Acer monspessulanum,16818
Cerasus mahaleb,13091
Quercus coccifera,23258
Platanus x hispanica,7641
Crataegus monogyna,17933
Nerium oleander,7795
Ailanthus altissima,14148
Sorbus domestica,35254
Acer monspessulanum,3093
Viburnum tinus,31280
Magnolia grandiflora,18792
Aesculus hippocastanum,14581
Corylus avellana,1846
Fraxinus angustifolia,23384
Acer campestre,5646
Ficus carica,12960
Fraxinus ornus,6351
Diospyros kaki,20402
Viburnum tinus,20879
Corylus avellana,17526
Crataegus monogyna,2707
Celtis australis,31078
Sorbus torminalis,18468
Eriobotrya japonica,18895
Quercus coccifera,12773
